807 812
281 646 -170
761 315 -521
791 304 -398
314 464 217
763 218 -517
85 44 832
693 408 44
558 559 536
766 84 -121
67 545 575
122 535 983
770 370 792
669 244 852
114 472 416
711 758 -509
544 644 -955
84 668 -924
410 112 -65
264 246 -252
607 240 -196
30 90 -166
79 156 556
136 219 807
208 362 257
536 565 883
528 228 -865
87 481 263
40 299 939
561 124 624
555 514 321
482 553 15
322 48 115
69 225 969
333 146 340
341 228 -383
639 791 -773
200 455 -185
378 435 -868
441 752 -112
532 70 -927
698 769 -463
392 216 -322
169 743 533
301 341 -61
696 83 34
561 338 -913
195 496 798
251 292 -135
30 444 161
144 460 -709
304 522 -971
298 570 -112
392 513 802
582 134 -756
723 482 -959
275 37 483
62 689 883
601 304 579
169 311 438
733 233 214
13 699 920
406 163 -838
405 378 -637
358 227 -483
28 701 3
445 388 331
50 708 406
489 515 -814
755 23 286
319 640 -653
115 371 -657
685 522 -811
516 713 675
399 109 675
37 617 -564
784 583 -799
761 252 -72
700 389 464
702 726 -212
48 576 -729
262 70 -786
606 746 749
213 240 18
17 266 -528
778 69 -777
128 198 660
58 253 -848
100 132 238
632 147 193
382 255 945
212 55 -793
745 287 775
425 163 -953
140 464 -538
41 158 -169
245 480 820
244 368 794
709 307 79
561 167 -624
663 441 -36
614 310 -257
395 482 -513
240 398 -220
131 91 128
390 451 -426
41 21 864
463 157 459
752 703 949
236 39 -165
310 36 596
381 500 -886
599 345 10
369 119 -121
426 442 -358
460 423 684
373 105 608
338 350 379
309 13 -356
541 410 -410
463 139 387
186 771 -841
456 516 -514
447 29 -755
28 433 -835
308 186 -901
447 558 711
477 657 681
433 269 -802
239 340 329
494 756 530
751 356 -231
81 90 369
359 676 496
404 421 607
324 155 -104
101 131 87
794 144 270
380 659 -866
610 460 43
430 636 997
585 417 -126
108 237 -37
547 33 -257
796 126 111
416 307 -135
180 177 17
142 640 -771
341 108 985
128 401 -238
343 480 180
30 218 94
638 347 -113
153 98 474
126 233 -206
434 602 718
485 397 -455
805 347 -868
250 191 470
119 310 -58
596 673 221
459 773 -957
594 662 -854
349 30 -142
287 113 -195
735 380 -380
244 174 754
755 178 -252
69 343 999
127 518 -224
708 480 474
510 443 767
609 500 -910
178 782 -699
512 294 -149
549 619 -701
292 690 -213
159 381 -671
489 685 384
744 549 -864
576 699 953
531 461 581
4 320 -183
54 72 -432
273 518 977
180 356 -435
783 673 291
671 626 601
290 790 875
432 637 -841
80 100 -920
650 75 1
329 459 380
564 4 6
250 477 -918
451 668 367
683 637 -744
21 411 521
422 347 -539
525 27 -147
165 1 902
160 206 234
496 564 -981
690 804 3
373 337 -562
737 84 215
218 171 -436
666 450 -666
478 283 628
407 743 858
683 662 72
636 737 -409
623 271 738
797 118 922
589 334 186
167 146 -407
524 307 -389
425 209 269
321 741 942
215 730 -468
164 690 124
298 336 877
615 261 -856
127 350 204
71 380 -435
720 648 395
555 360 939
30 208 -682
481 733 441
536 70 313
621 687 -356
298 256 -140
385 30 -916
286 193 957
274 358 119
224 44 121
646 508 -478
262 479 821
206 358 -491
766 712 919
564 399 335
787 159 -274
165 162 418
757 86 799
39 152 697
143 386 -412
750 550 442
7 92 -13
487 191 -215
72 329 35
464 514 -30
6 158 497
431 659 917
304 348 -445
522 117 982
275 278 564
742 770 423
597 611 541
29 719 394
435 445 -700
163 547 195
670 640 273
495 652 -172
360 484 -263
34 403 122
282 49 -474
722 365 966
571 338 -431
216 608 -922
4 65 -828
807 480 -869
701 394 -952
33 366 286
623 634 -561
380 672 -349
118 109 400
534 228 -875
199 29 -499
31 161 -330
605 552 501
382 243 -127
143 398 -468
754 805 -185
65 486 57
776 795 -26
512 291 -293
661 410 647
713 348 -740
716 271 -494
796 608 120
492 328 537
258 721 -250
253 268 676
496 208 -342
113 142 -456
191 335 -64
367 94 -490
460 133 -26
162 304 -382
180 174 -613
468 275 950
133 182 197
511 504 198
556 62 -896
515 778 379
50 706 -826
806 584 -294
497 648 -632
273 362 942
83 600 493
154 548 141
193 618 -157
165 151 -658
337 547 915
749 210 -532
704 726 -342
510 87 782
40 271 -616
772 669 -523
506 390 11
470 646 928
415 548 -356
394 58 8
511 604 352
553 342 -407
103 232 -35
476 751 -756
648 802 -940
786 518 555
82 47 -198
770 736 942
602 291 -194
242 443 -742
233 72 596
538 57 -863
781 152 -594
554 232 -487
346 485 857
627 376 -54
602 330 -620
95 515 -133
463 203 -239
361 228 -976
194 776 -835
423 65 -156
175 600 606
672 217 -891
65 501 -689
779 715 -933
308 390 391
170 588 36
658 631 -413
140 538 135
120 785 896
54 566 -635
171 725 -102
427 95 -865
516 574 551
534 351 -272
624 523 777
296 123 -680
480 203 -373
783 283 919
718 262 564
388 484 -298
425 624 72
582 379 705
14 127 -668
130 760 851
249 127 171
575 177 442
640 293 380
792 154 355
698 697 -817
643 347 658
269 226 568
211 338 -542
148 599 832
565 654 -184
604 433 -437
564 234 337
625 376 -988
143 686 -815
94 122 -174
31 733 -597
107 82 -63
768 238 260
206 687 937
670 174 -281
598 373 710
157 211 -972
460 176 -42
490 104 447
806 712 129
203 680 -667
438 529 491
291 51 489
774 748 938
372 178 583
86 607 387
481 280 -676
791 636 268
369 455 -998
347 656 -95
572 554 -815
763 398 -819
267 167 -405
405 311 -158
435 727 -240
355 171 -502
26 689 -100
723 594 -833
442 541 -488
405 251 -981
804 590 -610
411 63 736
698 324 -240
391 742 -255
482 497 780
332 486 -914
778 758 -207
178 503 731
260 407 -390
191 787 38
659 405 -139
589 268 367
791 343 845
782 491 -86
201 743 -438
107 369 951
287 98 -88
786 602 -202
409 250 329
406 731 879
202 777 69
419 502 -908
35 107 -551
725 536 681
54 138 -971
483 547 -702
566 199 330
293 309 -491
754 570 -255
212 391 -517
484 231 556
243 386 600
276 601 -19
337 91 416
769 704 -409
576 356 -273
354 618 817
544 295 -547
42 179 549
92 394 29
706 491 -602
807 635 -235
63 665 725
398 273 903
9 504 582
791 704 97
248 696 -327
236 222 -191
83 527 -551
386 255 358
154 415 -41
629 476 814
757 346 55
462 561 919
248 794 -596
807 351 286
111 775 -464
40 122 -575
262 758 436
129 698 -391
373 325 534
497 786 452
175 759 418
500 280 -847
125 200 359
490 41 163
93 537 -642
25 231 100
234 56 356
643 786 129
313 624 470
532 510 -900
650 274 881
788 390 -792
482 541 823
320 406 718
165 712 -273
660 250 -128
655 796 383
783 750 -748
442 329 -702
202 257 126
570 399 -443
580 360 821
93 319 795
741 41 -458
260 469 953
373 226 332
104 353 253
44 416 479
29 652 697
260 664 252
182 477 -557
334 512 -675
126 122 717
609 796 -553
71 326 533
78 516 -121
133 773 872
138 440 -877
152 536 243
73 56 233
683 424 -406
495 202 -538
572 588 704
711 621 -917
777 614 -547
753 353 -242
662 745 -473
237 553 649
573 569 -557
556 19 -659
447 330 903
653 520 902
173 238 444
253 84 121
60 522 -716
385 713 585
42 89 152
261 344 899
624 585 -140
456 506 -788
205 271 205
581 574 294
671 629 -674
698 69 -545
581 774 -608
91 204 -850
637 563 -277
213 474 -367
152 216 211
383 467 599
726 59 -920
585 239 314
597 343 -841
329 94 632
357 611 398
450 540 612
123 477 -308
748 691 -584
755 92 -47
187 499 -676
442 49 -924
510 5 726
696 461 891
644 804 755
414 488 -566
278 229 -399
376 638 841
583 134 413
79 419 -599
755 174 628
688 105 280
790 545 114
29 372 -674
777 705 -758
417 111 721
576 193 -376
305 146 141
711 106 -68
635 17 689
123 397 328
110 12 -696
149 543 -503
99 482 -431
345 386 -902
673 64 953
716 334 -998
215 152 226
141 239 -158
146 791 936
103 375 766
526 498 -127
426 48 -7
578 607 547
35 762 33
495 586 -2
225 730 645
131 534 -754
473 190 100
39 8 -401
492 29 -731
621 347 383
763 366 -171
65 153 350
481 336 -420
596 505 -127
69 762 423
110 367 142
459 782 -52
250 33 750
218 575 -978
24 46 758
530 449 -713
699 413 -997
72 189 -80
718 717 -220
584 433 -159
113 329 769
81 722 849
171 196 -414
60 111 439
772 266 295
75 687 -451
581 576 -133
451 714 687
204 543 524
485 166 -523
570 140 -696
341 276 -17
178 534 -749
88 549 185
689 790 -409
805 195 630
615 240 -320
448 679 749
41 113 527
374 202 960
662 525 944
99 22 518
778 361 -332
726 636 -915
680 398 562
14 687 593
722 788 -830
131 767 -977
68 764 -199
454 97 -933
355 583 376
270 480 410
363 317 798
220 470 206
210 798 176
165 49 376
593 160 868
296 381 147
549 777 -994
352 710 402
145 151 -474
524 304 -629
795 167 666
258 527 709
389 594 70
362 791 -13
4 706 95
310 573 57
58 406 -695
425 413 -615
695 565 526
391 16 -245
659 154 -764
639 678 -120
103 390 -206
5 31 605
760 253 753
138 406 -92
389 14 -751
146 664 165
281 412 507
83 78 36
88 430 107
589 481 795
448 593 965
798 53 735
691 308 888
359 446 -634
758 439 -65
715 34 -417
366 439 168
476 339 -601
69 552 863
799 44 894
786 77 934
485 737 -930
497 583 450
239 46 858
6 470 -569
594 44 -846
185 501 292
79 35 973
395 293 964
40 684 -586
415 329 -658
250 69 -16
263 705 818
660 629 -161
219 712 -692
142 576 -195
263 619 991
525 34 65
548 417 -723
266 729 -453
398 768 109
191 197 204
405 728 783
606 104 207
366 562 746
629 521 76
666 67 11
508 218 -877
746 527 -576
51 607 -695
314 251 951
454 45 -849
690 119 -424
713 305 671
209 20 -374
151 57 543
253 284 616
226 646 -618
728 289 -216
391 125 -512
745 712 446
188 278 -290
337 700 -888
150 766 -810
691 8 -951
591 264 682
759 487 -739
150 170 -267
699 462 676
166 435 -968
657 753 87
501 532 71
493 97 -738
68 722 811
292 267 -769
720 554 14
683 360 372
142 305 -457
715 285 -319
601 168 893
394 403 -179
580 731 -28
741 542 -738
205 447 -121
221 334 975
374 726 523
613 114 489
372 315 -487
438 290 -14
76 629 420
710 759 -429
234 286 -769
168 144 132
27 348 646
236 107 -778
573 326 -112
241 800 583
583 188 428
241 315 209
513 806 672
470 233 -328
306 195 874
268 54 -83
443 625 388
539 658 763
391 695 -47
112 436 -837
151 176 -130
377 3 -218
564 251 -693
576 761 625
308 499 871
684 264 517
452 217 -415
447 173 -340
153 414 -299
151 123 -651
722 218 -749
153 1 -60
460 763 -500
278 372 -997
