1
831 1925
742 706 663
598 602 361
172 134 813
607 637 325
152 493 923
274 525 12
689 793 322
715 634 84
190 494 191
519 670 396
430 587 130
3 719 882
441 501 961
493 403 882
231 685 40
747 56 140
497 689 33
141 77 942
271 325 41
635 308 540
43 30 305
148 381 566
656 402 117
308 635 820
60 378 510
659 439 694
625 413 638
165 598 978
671 241 490
421 336 902
594 711 228
315 498 624
179 787 708
493 585 86
536 22 189
527 506 257
345 777 635
744 9 246
529 31 643
428 419 873
830 489 699
61 703 658
680 560 571
556 395 224
376 421 526
335 235 110
37 163 248
253 403 129
793 374 836
736 692 191
762 488 214
97 258 129
578 610 805
479 738 801
254 437 968
121 780 31
529 468 765
524 272 417
500 726 375
424 471 1
562 128 427
748 643 435
361 515 728
313 699 473
681 86 28
584 496 377
154 685 430
149 410 199
647 547 68
86 341 980
161 5 236
386 740 977
54 758 340
422 182 813
382 454 679
197 225 567
734 405 641
58 591 556
305 22 922
512 438 733
129 581 584
706 666 459
345 330 174
162 597 113
421 557 137
11 103 681
426 633 290
583 663 874
747 287 991
41 687 22
718 211 532
743 384 974
385 193 576
350 167 907
4 807 65
468 285 14
758 407 303
208 81 206
578 702 45
633 142 757
420 543 109
329 25 920
784 508 430
326 521 758
395 338 517
261 175 983
313 157 544
291 488 831
131 13 759
775 446 408
389 3 933
60 361 768
800 121 798
248 294 472
264 470 223
824 290 442
422 210 788
436 285 338
634 371 434
663 73 698
221 671 803
347 321 783
478 653 840
762 274 798
51 324 330
168 495 852
226 755 740
103 349 742
447 97 948
279 334 99
819 292 583
183 48 436
306 300 863
478 764 345
765 205 433
225 283 323
528 156 622
779 68 115
350 224 935
310 686 935
494 315 758
233 150 728
237 3 146
765 259 286
376 830 958
164 240 295
347 617 269
33 410 757
222 11 676
428 148 980
330 810 483
262 678 632
89 435 853
677 335 488
19 299 479
196 296 594
622 807 976
759 354 606
735 534 821
648 227 926
821 72 895
241 581 300
758 333 174
487 502 632
451 421 947
178 273 416
578 203 311
762 417 434
709 646 818
412 814 913
433 31 871
383 481 541
635 232 741
343 450 933
68 310 550
499 250 164
587 722 126
97 706 594
219 618 851
411 150 45
815 444 690
285 195 926
574 747 393
577 163 497
313 90 99
