954 2611
29 6 385
613 182 640
937 498 791
767 709 426
419 684 989
154 428 258
762 281 718
846 465 998
747 796 923
197 55 114
438 888 291
221 429 417
424 850 971
330 441 584
575 507 820
123 888 572
63 346 756
120 665 899
713 178 109
923 433 672
903 626 395
117 560 543
422 737 272
793 755 160
213 373 535
542 595 331
628 794 191
791 336 105
44 170 921
668 178 670
317 280 626
267 906 896
62 809 58
25 636 233
67 219 359
919 503 211
368 829 677
42 349 786
839 273 301
804 229 832
606 48 841
81 64 267
451 800 591
941 216 304
693 179 55
156 420 974
72 68 604
531 479 696
594 392 166
438 129 446
145 905 178
627 50 374
422 176 850
291 33 504
41 296 344
174 696 254
686 186 137
161 271 857
69 698 254
893 540 763
660 195 849
359 39 924
551 763 633
556 137 223
352 680 340
722 37 643
672 247 687
722 664 222
385 314 167
320 395 552
39 935 24
363 581 995
599 348 397
60 404 60
327 185 105
245 910 637
570 360 146
455 351 581
332 227 453
395 289 509
273 821 206
314 709 233
313 673 70
215 102 95
663 13 270
332 68 55
263 885 720
509 285 813
866 708 799
281 735 884
902 606 825
224 414 810
954 586 697
265 522 171
864 782 291
809 880 511
919 379 318
95 352 845
53 585 925
357 264 306
907 500 143
272 469 720
279 907 229
672 779 943
457 787 251
433 151 240
195 519 263
49 336 100
741 145 242
817 793 43
797 87 662
252 216 139
390 926 464
130 740 209
306 321 853
892 798 431
615 502 425
779 690 912
187 638 478
592 923 100
788 150 973
589 931 744
924 731 919
891 938 698
11 659 719
914 340 143
578 836 829
376 425 707
894 659 455
852 928 288
791 35 412
145 629 171
718 774 679
537 386 946
186 816 156
256 747 853
249 473 115
495 80 649
87 598 88
620 584 761
594 160 931
99 315 56
519 156 100
418 776 288
169 525 517
69 85 322
933 37 513
657 727 894
370 314 175
522 455 138
118 861 511
559 66 916
361 157 525
424 706 910
688 721 941
138 161 106
166 436 94
704 711 456
615 661 791
577 544 532
838 26 964
613 597 748
840 852 813
918 331 364
121 854 808
826 929 21
599 841 713
106 85 73
680 731 624
146 917 353
884 124 974
98 607 843
582 640 494
533 100 7
8 805 744
502 43 787
728 775 128
17 583 363
690 441 301
706 728 10
26 766 801
369 430 505
229 834 91
454 898 466
314 78 411
334 934 848
148 190 504
698 102 688
797 532 570
146 571 944
475 193 761
823 669 766
76 440 402
896 657 336
662 911 864
515 580 189
53 153 754
152 615 416
800 50 859
553 871 788
368 454 753
76 843 558
399 954 485
104 344 117
129 874 873
945 447 6
492 837 473
557 276 882
794 546 677
309 277 741
85 71 326
598 484 989
411 952 151
639 110 975
648 768 245
616 25 544
332 49 695
21 423 895
446 434 140
921 95 957
284 369 513
85 623 595
105 604 643
69 129 471
491 286 641
727 645 889
888 876 392
179 230 339
228 754 951
226 251 285
754 803 92
953 648 107
47 453 336
109 896 586
29 780 265
803 878 796
492 807 67
548 855 950
164 250 444
637 536 489
294 740 875
935 250 171
116 136 110
247 94 138
385 831 28
401 892 864
87 572 439
510 216 828
327 860 163
221 156 8
70 476 474
374 603 742
820 14 964
152 654 621
408 689 865
399 648 664
570 714 438
156 664 697
568 277 708
149 84 341
561 38 905
690 570 303
658 857 188
288 703 137
574 474 785
825 837 641
733 411 904
611 116 211
129 398 247
2 182 125
904 771 701
849 691 442
934 388 937
506 888 607
15 822 630
79 784 333
584 145 589
463 15 562
560 125 426
308 390 194
673 569 599
491 187 724
685 347 679
127 440 944
20 794 225
693 438 841
788 664 596
884 6 551
603 878 790
226 96 345
301 500 762
98 126 835
712 62 567
131 638 639
103 471 833
18 194 95
43 361 660
207 117 783
381 188 764
548 163 322
271 421 180
495 725 123
698 850 222
501 522 750
368 945 454
570 437 404
474 41 382
227 830 229
140 159 348
118 800 461
214 245 378
165 596 341
212 425 400
313 131 940
814 185 465
433 568 384
701 394 85
623 834 249
35 392 309
783 835 321
238 132 951
739 210 523
462 287 786
260 764 748
189 732 652
272 312 549
578 815 513
393 942 782
656 19 773
261 444 68
381 799 590
763 173 475
24 890 653
48 393 663
474 534 789
732 144 732
576 6 819
455 417 609
43 682 310
631 244 963
131 19 787
209 431 314
413 371 763
348 653 837
610 791 388
140 421 313
516 431 949
505 867 975
861 251 109
276 497 481
939 407 782
183 695 359
810 144 595
516 375 368
884 253 248
772 107 274
263 176 579
730 670 252
426 112 519
938 686 201
941 832 712
948 690 721
860 524 922
811 204 102
664 320 136
618 69 996
316 757 350
54 607 361
313 104 296
42 522 133
593 250 515
582 519 781
58 436 611
953 193 54
262 109 472
163 932 571
298 826 651
455 500 920
132 143 537
890 584 419
724 683 600
433 111 759
885 562 85
730 878 128
767 80 647
123 554 687
665 433 778
395 717 513
463 356 914
674 553 616
561 609 888
737 219 352
574 540 719
944 53 219
875 444 168
838 696 15
875 542 781
221 925 24
617 345 713
319 240 513
139 58 318
910 890 164
613 735 72
66 336 726
282 543 449
874 289 422
832 213 233
401 376 861
531 309 517
924 791 439
565 761 57
505 495 28
86 29 270
616 36 252
607 615 19
565 369 556
254 355 416
493 773 398
594 897 960
914 75 449
554 370 313
350 56 162
802 717 500
692 855 854
730 429 337
285 918 113
860 165 200
890 523 507
389 461 700
787 453 304
268 148 749
701 289 780
526 416 921
299 579 973
286 388 549
355 427 967
505 415 906
469 488 497
51 453 888
149 618 581
427 530 983
29 633 257
116 853 480
604 912 302
274 354 981
661 700 562
502 152 10
5 828 266
283 181 156
132 399 236
645 671 985
235 410 311
395 459 878
7 22 636
115 806 194
175 293 662
118 950 574
91 141 283
631 642 225
621 432 122
803 830 382
14 619 875
551 3 976
317 256 331
446 33 224
900 104 434
874 540 894
294 721 665
386 514 833
536 516 443
186 192 888
210 758 812
620 707 575
858 292 45
355 867 299
231 644 169
566 114 415
416 403 94
118 306 983
701 24 444
33 890 616
517 305 740
28 85 709
409 236 378
226 438 436
553 135 91
48 456 240
555 219 658
626 124 889
407 116 471
99 809 533
312 749 924
279 100 677
678 916 278
319 198 992
39 893 808
734 43 470
671 103 976
480 547 201
625 422 250
29 446 749
21 613 383
788 910 796
597 516 403
540 615 66
527 581 18
170 210 423
124 235 756
758 516 506
406 793 3
485 411 289
438 95 219
351 627 312
583 627 870
879 585 923
492 3 296
86 50 282
581 852 144
815 619 301
938 561 273
81 402 752
324 623 753
31 526 217
648 359 958
682 641 511
564 143 477
510 251 326
918 749 743
692 234 661
670 614 533
719 204 209
858 11 988
744 847 857
108 884 797
316 519 519
357 107 479
820 184 713
152 290 648
733 324 665
156 518 134
607 620 30
594 541 95
41 479 923
205 782 772
15 651 289
722 358 148
21 243 859
830 613 317
569 531 367
563 856 79
596 623 22
914 457 613
452 139 426
647 690 859
197 8 690
352 19 961
95 210 340
826 162 746
271 881 207
377 155 888
544 326 719
118 763 234
496 938 292
386 7 836
664 654 814
491 143 207
361 194 155
521 710 994
726 322 373
809 753 929
839 579 348
905 432 681
684 421 340
856 751 781
661 654 121
731 221 925
797 210 64
347 670 87
643 111 114
106 547 338
80 531 563
1 772 514
671 493 660
738 425 828
503 629 574
74 879 591
709 470 225
547 847 731
434 800 944
873 909 643
885 650 441
926 796 101
760 543 474
796 902 96
194 563 559
576 908 937
799 444 618
690 586 362
718 947 666
409 604 262
386 592 32
829 724 463
356 103 67
332 168 363
574 35 116
531 680 705
134 490 184
945 450 372
914 791 212
324 345 965
44 65 961
187 442 281
689 705 803
936 414 921
826 597 666
545 744 224
733 487 820
99 172 54
208 770 482
33 845 376
160 857 554
135 896 717
180 792 452
787 426 359
70 203 94
421 449 789
455 917 656
380 907 835
491 588 370
920 932 926
517 524 142
933 549 754
86 181 164
85 643 21
787 168 64
587 916 87
486 175 102
849 911 147
120 296 496
935 173 645
902 188 548
593 560 492
147 924 549
10 7 463
334 896 186
847 27 47
726 139 727
432 475 881
901 542 450
576 571 367
772 579 66
499 407 786
41 279 893
655 120 96
467 211 14
600 190 642
176 493 401
282 167 559
110 848 634
552 498 710
121 468 393
274 553 429
202 767 191
227 877 853
13 147 551
406 350 704
608 700 121
409 267 806
772 278 89
849 338 284
446 445 347
807 641 792
237 50 580
439 668 541
871 80 908
924 252 138
773 941 632
85 11 895
751 450 836
145 908 252
263 313 68
754 395 471
59 568 842
34 618 683
205 144 856
434 780 636
382 312 903
679 63 893
609 26 58
197 343 668
196 621 229
668 104 904
378 310 301
66 519 47
100 423 401
389 346 740
565 830 366
335 660 761
654 359 388
876 355 233
726 175 970
680 65 826
767 152 931
930 568 876
531 425 487
273 618 762
351 157 705
803 181 567
701 225 432
498 560 815
61 118 801
256 174 464
848 869 77
203 443 233
875 703 11
323 449 598
733 357 99
651 709 688
749 868 664
508 718 299
290 10 68
625 266 372
23 753 174
281 508 283
383 254 473
270 824 844
790 947 254
84 67 242
594 379 870
170 99 682
541 754 745
505 296 234
575 266 622
837 395 886
855 17 723
897 35 739
471 605 477
246 855 85
627 603 301
59 732 211
40 138 821
146 914 450
690 905 284
216 664 303
907 193 42
490 174 675
401 264 196
621 310 778
139 874 331
173 622 919
490 178 893
646 219 309
263 698 458
113 478 57
463 547 634
183 813 201
258 311 106
932 835 502
538 407 936
742 51 56
294 274 800
871 141 410
