1
842 897
222 142 233
621 735 927
391 828 855
790 570 129
641 551 -681
252 670 -190
689 315 158
562 492 798
611 11 260
613 347 886
34 808 604
367 326 188
840 693 958
251 229 -678
299 388 -829
319 49 -729
367 174 534
126 152 -139
492 631 -233
192 702 -204
461 130 -13
59 656 410
612 531 895
615 116 -872
81 158 -655
165 786 310
98 784 391
687 676 -440
245 348 -91
769 212 616
66 333 -231
341 420 976
350 119 973
383 808 -967
307 474 -567
744 742 -609
205 45 240
226 170 -969
593 506 -597
323 7 -649
351 73 -996
229 517 -380
314 198 115
447 14 -58
237 738 -748
547 237 182
161 68 235
189 334 786
483 233 -224
216 534 -289
232 632 870
162 486 -577
561 292 -744
451 211 924
239 47 459
735 447 473
189 559 965
154 834 -782
159 271 253
11 174 -88
165 628 267
369 544 27
240 723 311
186 635 648
517 514 -83
53 154 620
514 236 -441
659 682 20
792 346 -468
768 400 -882
604 348 -930
647 48 -205
590 74 227
372 221 867
551 569 -879
667 736 -457
722 727 -115
160 176 -520
406 481 756
314 654 451
699 337 -460
660 723 -921
247 328 -343
53 190 -541
347 682 532
725 536 336
589 692 150
136 300 680
639 13 771
245 238 996
302 229 325
30 49 -936
423 136 -670
477 515 -574
669 426 603
728 680 446
334 522 -940
60 82 288
578 434 -920
336 390 429
111 377 773
54 9 -669
551 127 187
603 830 -110
257 163 -46
818 119 794
60 432 -846
403 611 161
250 291 -693
447 151 -668
446 137 -464
6 209 331
646 797 -66
200 308 -564
312 369 -458
552 13 -511
29 91 39
314 779 11
170 363 -976
257 7 808
530 463 -351
478 241 138
577 250 -81
480 41 -350
185 686 -20
46 536 229
262 8 667
296 222 140
136 653 -604
281 378 823
36 410 -327
421 764 609
795 83 224
805 548 194
201 391 550
229 136 55
6 509 648
53 606 500
513 29 -769
576 187 -227
320 583 360
338 102 85
526 307 -256
594 461 901
644 76 -727
722 293 433
807 385 708
420 359 -151
483 659 4
240 323 902
211 121 -273
170 673 -7
304 126 -221
293 410 -47
220 740 245
91 831 462
534 161 -97
572 149 -126
89 335 -164
372 289 10
317 621 132
296 337 860
158 95 607
573 512 -559
342 565 305
745 742 937
271 195 -808
25 218 -870
675 608 -891
786 693 -26
159 148 -61
721 572 -100
637 669 -157
539 671 -740
492 243 654
465 220 913
179 820 -966
212 639 -506
162 61 -607
379 424 618
540 299 -60
500 22 635
